Name,Description,ABV,Pour Size,Menu Price,Override Price
Beer Tree Trippy Tree,"Beer Tree Trippy Tree - Pineapple, Passion Fruit, Tangerine - The Beer Tree crew loaded this far out Fruited Sour with a triple threat of sun kissed deliciousness: pineapple, pink guava, and tangerine. They all come together for a trifecta of tangy taste that really gets the taste buds singing. Add a kiss of lactose from milk sugars.",7.3%,16,$11.00,$12.00
Delirium Noel,"Delirium Noel is a seasonal, Belgian Strong Dark Ale brewed by the Huyghe Brewery for the winter holidays, known for its dark red color and festive flavors of dark fruit, cinnamon, and clove. It's a top-fermented, bottle-conditioned beer with a creamy texture and a spicy, dry finish.",10%,8.5,$12.00,$11.00
Devils Backbone Lager,"Devils Backbone Vienna Lager It is an amber lager characterized by mild, toasted, and caramel malt notes, with a smooth, medium-bodied, and semi-sweet flavor profile.",5.2%,16,$5.00,$8.00
Duchesse Cherry Chocolate,"Duchesse Chocolate Cherry from the Verhaeghe Brewery is traditional Duchesse de Bourgogne -- a blend of 1 and 2 year old sour ales aged in oak casks -- with 20 kg of whole sour cherries from the Limburg region of Belgium added to each 100 liters of the maturing beer, along with chocolate essence. The brew pours a clear, dark reddish brown with a small pinkish tan head, and emanates aromas of tart sour cherries, bread, cocoa, toffee, and vanilla. On the palate, the predominant taste is cherry and chocolate, with a not-too-sweet chocolate aftertaste.",6.8%,8.5,$10.00,$11.00
Hoegaarden,"Hoegaarden is a Belgian wheat beer (witbier) from the village of Hoegaarden, famous for its cloudy appearance and refreshing taste from ingredients like orange peel and coriander. It is a popular style with a history dating back centuries.",4.9%,16.9,$12.00,$10.00
Kronenbourg Blanc,"Kronenbourg Blanc is a French wheat beer (witbier) with a pale, hazy golden color and a creamy white head. It is known for its refreshing and fruity flavor profile, which includes notes of citrus and spices like coriander, balanced by a mild bitterness and a smooth, wheat-based body. It has aromas of citrus, wheat, and a subtle spice, with a finish that is smooth and creamy with persistent fruity and citrus notes.",5%,16.9,$7.00,$8.00
Mast Landing Nitro Gunner's Daughter ,"Mast Landing – Gunner's Daughter NITRO Brewed with natural flavors to evoke flavors of peanut butter, coffee, and chocolate, without any of those ingredients; nut free, contains lactose. ",5.5%,16,$9.00,$9.00
Other Half DDH All Citra Everything ,"Other Half All Citra Everything is a double dry hopped imeperial India pale ale. It is a hazy Imperial IPA highlighting a single hop variety, Citra. Notes of lychee and sweet orange.",8.5%,16,$10.00,$10.00
St. Bernardus Tripel,"St. Bernardus Tripel is a well-regarded Belgian abbey ale known for its balanced blend of sweetness and hop bitterness, with a crisp, effervescent mouthfeel. Reviewers frequently mention aromas and flavors of spicy fruit, citrus, banana, and clove, with a clean malt base and often a hint of caramel.",8%,8.5,$8.00,$10.00
Weldwerks Extra Extra Juicy Bits ,"WeldWerks Extra Extra Juicy Bits features a profile bursting with tropical and citrus fruits, such as mango, pineapple, passion fruit, and tangerine, balanced by a grapefruit finish and a low, soft bitterness. Its flavor is supported by a creamy, smooth, and pillowy mouthfeel from oats and wheat.",8.4%,16,$7.00,$10.00
